"","predictTest"
"2",0.0504439706614924
"4",0.0794330591073164
"7",0.0609693998851919
"12",0.059150647953856
"14",0.0457186498545372
"15",0.0476739842295548
"18",0.0531766864621237
"22",0.0774396097630321
"26",0.0906953485742187
"27",0.0577812448391391
"29",0.090016846726379
"35",0.085303516283908
"38",0.114476696500993
"40",0.099091421436443
"42",0.299267167984066
"43",0.23041122400644
"48",0.33249803044176
"52",0.270971403720205
"54",0.422460840988274
"55",0.388138386444944
"56",0.352335729264827
"61",0.309789843082481
"63",0.469503195022379
"65",0.386521792529113
"69",0.160859567491312
"70",0.0573025634346308
"71",0.0944407838681858
"73",0.0955444317991075
"77",0.0670302984592819
"78",0.0627050982283584
"80",0.0574932688019238
"81",0.0499418154811004
"84",0.063469249764703
"86",0.109143184474213
"87",0.0513715736552412
"90",0.132835298877087
"91",0.286678691618938
"94",0.0396413558865516
"102",0.0639095569797395
"110",0.0381021546353191
"111",0.0582855793174304
"115",0.0413255767766884
"117",0.0981915833612696
"124",0.311135499828113
"125",0.0433864394020092
"126",0.0845725915859697
"128",0.0755371883426712
"132",0.041907897063446
"133",0.0443713186515128
"137",0.395737016765821
"140",0.103118911011648
"145",0.0729497343308943
"148",0.0778513280303542
"149",0.0778513280303542
"150",0.0784407037416877
"151",0.0482069388324541
"152",0.0482069388324541
"153",0.0577206694645461
"154",0.11196094502694
"155",0.0437189979372676
"162",0.0483903845057293
"165",0.296063980425659
"171",0.0496883301099965
"175",0.0587490409384479
"176",0.0587490409384479
"178",0.121719302062828
"183",0.0704466973480389
"185",0.059677317106896
"187",0.0435343519515892
"188",0.265255607284966
"189",0.764193601284579
"190",0.816595608073635
"193",0.731373895578407
"194",0.637746449689021
"198",0.528245130956621
"201",0.618831526886517
"202",0.476806784978673
"204",0.54971485457503
"205",0.597116822973785
"210",0.767252574628239
"213",0.400343739044766
"214",0.549467118436745
"218",0.641244651768912
"219",0.197763506338416
"220",0.403556515612692
"224",0.679904505151324
"226",0.642308004284822
"227",0.552110152619974
"228",0.292506624755592
"229",0.769700777078168
"232",0.505486635551573
"235",0.767050334401601
"238",0.409898242058859
"239",0.333530385757103
"240",0.487755927119386
"242",0.517675177454191
"248",0.694780590526799
"249",0.681154171015007
"250",0.262529764639508
"251",0.187406688795914
"255",0.165023764597288
"258",0.285464570238509
"259",0.270587169677695
"262",0.208277734857443
"263",0.0928163530519099
"269",0.154805430303075
"272",0.108412957792244
"275",0.0509625779654742
"277",0.0792661409792341
"278",0.0607402168137243
"281",0.0622293781111768
"284",0.433839741054357
"285",0.146364612119904
"287",0.275202787947508
"288",0.220950941433604
"289",0.220201802983833
"297",0.0511608430616629
"298",0.0746719410664977
"308",0.114069644508371
"311",0.0570916578257923
"312",0.116043252294176
"313",0.142324837483431
"316",0.0955628277508944
